Title,Title_URL,Image,textweb_textsc1cyx7780,Price,textweb_textsc1cyx77801,chipsc11o9f920,button_styledbuttonsc1py7swr0
"Hisense 1.5 Ton 5 Star Convertible Inverter Split AC, ATCW515HJP (5 in 1 Convertible, PM 2.5 Filter, 100 per cent Copper, Auto Clean, 2023 Launch)",https://www.reliancedigital.in/hisense-1-5-ton-5-star-convertible-inverter-split-ac-atcw515hjp-5-in-1-convertible-pm-2-5-filter-100-per-cent-copper-auto-clean-2023-launch-/p/581110545,https://www.reliancedigital.in/medias/Hisense-ATCW515HJP-Inverter-Split-AC-581110545-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w1MTg1fGltYWdlL2pwZWd8aW1hZ2VzL2g1MC9oYmIvMTAwMTI5NjYzODc3NDIuanBnfDg5NmZlOWU5NjJhOTkxYTRhZGZkNWZlZmI1OTA5YjdjZmIxNWY2MjkyODVkNDE1YmU4ZWE4YzkzOGUyOWU5YzU,"36,990.00","59,490.00","38%(₹22,500)",OFFERS AVAILABLE, Wishlist
"Panasonic 1.5 Ton 5 Star 7-in-1 Wifi Convertible Inverter Split AC, CS/CU-HU18ZKYF (Nano ex air purification, 4 way swing, MirAie function, R32, PM 2.5 Filter, 2023 launch)",https://www.reliancedigital.in/panasonic-1-5-ton-5-star-7-in-1-wifi-convertible-inverter-split-ac-cs-cu-hu18zkyf-nano-ex-air-purification-4-way-swing-miraie-function-r32-pm-2-5-filter-2023-launch-/p/581110365,https://www.reliancedigital.in/medias/Panasonic-CS-CU-HU18ZKYF-Air-Conditioner-581110365-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxNDQyN3xpbWFnZS9qcGVnfGltYWdlcy9oZGYvaDgyLzk5NjcwNjkwMzY1NzQuanBnfGU2NDUzNzdiYmNlMWYxYjJiZWRmMjFjYmExMjRjZGM4NWM2MTQ1ZmY1MjRhZWFjM2IxYzBjYzE0OTBjNjE1M2I,"54,990.00","76,900.00","28%(₹21,910)",OFFERS AVAILABLE, Wishlist
"LG 1.5 Ton 5 Star Inverter Split AC, RS-Q19KWZE (Wifi, 100 Percent copper, AI Plus Dual Inverter Compressor, 4 Way Swing, Anti Corrosive Ocean Black Protection, 2023 launch)",https://www.reliancedigital.in/lg-1-5-ton-5-star-inverter-split-ac-rs-q19kwze-wifi-100-percent-copper-ai-plus-dual-inverter-compressor-4-way-swing-anti-corrosive-ocean-black-protection-2023-launch-/p/581110280,https://www.reliancedigital.in/medias/LG-RS-Q19KWZE-Air-Conditionerr-581110280-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMzg2M3xpbWFnZS9qcGVnfGltYWdlcy9oNTUvaDY3Lzk5ODM3MTYwOTgwNzguanBnfDhkYjk3ODhlYmIxYWVlNzJjY2QzZTdhMDA4MGQ0NTFmYzgwZmI0MjQzMWIwZTk5MzU0ZWJlZmNkZTRmYjQ0NTA,"49,990.00","81,990.00","39%(₹32,000)",OFFERS AVAILABLE, Wishlist
"LG 1.5 Ton 5 Star wifi 4 in 1 convertible Inverter window AC, RW-Q18WWZA ( Dual Inverter Compressor, Anti corrosive Ocean Black Protection, 2023 launch)",https://www.reliancedigital.in/lg-1-5-ton-5-star-wifi-4-in-1-convertible-inverter-window-ac-rw-q18wwza-dual-inverter-compressor-anti-corrosive-ocean-black-protection-2023-launch-/p/493672595,https://www.reliancedigital.in/medias/LG-RW-Q18WWZA-Air-Conditioner-493672595-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyODk3MHxpbWFnZS9qcGVnfGltYWdlcy9oZjEvaDAwLzk5NTI2NTM5MzQ2MjIuanBnfDJkNTQ5NzYyYmVmYzlhMWYyMGVlZTRmOGVhMTgxYzcxMjMwZDliNTdiOTU4NTliYjNlODQ1Mzc3N2IyNmY5YTU,"43,990.00","70,990.00","38%(₹27,000)",OFFERS AVAILABLE, Wishlist
"Panasonic 1.5T 4 Star 7 in 1 Wi-Fi Convertible Inverter Split AC, WU18ZKYXF (4 way swing, MirAie function (Wi-Fi), R32, PM 2.5, 2023 launch)",https://www.reliancedigital.in/panasonic-1-5t-4-star-7-in-1-wi-fi-convertible-inverter-split-ac-wu18zkyxf-4-way-swing-miraie-function-wi-fi-r32-pm-2-5-2023-launch-/p/581110372,https://www.reliancedigital.in/medias/Panasonic-CS-CU-WU18ZKYXF-Air-Conditioner-581110372-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxNDE1NXxpbWFnZS9qcGVnfGltYWdlcy9oMjMvaDM4Lzk5NjcwNzEzMzAzMzQuanBnfDhlMGNjYzgwOWZhZWM5MGVlNTdhNmZiZDQyMjJlODExYTA2NjJhMmFlZDU1ZTgxNGYzYjExMzNlY2YxODM2YTY,"46,990.00","66,900.00","30%(₹19,910)",OFFERS AVAILABLE, Wishlist
"Panasonic 2.2T 4 Star 7-in-1 Wi-Fi Convertible Inverter Split AC, QU26ZKYF (4 way swing, MirAie function (Wi-Fi), R32, PM 0.1 filteration, 2023 launch)",https://www.reliancedigital.in/panasonic-2-2t-4-star-7-in-1-wi-fi-convertible-inverter-split-ac-qu26zkyf-4-way-swing-miraie-function-wi-fi-r32-pm-0-1-filteration-2023-launch-/p/581110374,https://www.reliancedigital.in/medias/Panasonic-CS-CU-QU26ZKYF-Air-Conditioner-581110374-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMzI3OHxpbWFnZS9qcGVnfGltYWdlcy9oYjUvaGEwLzk5NjU5NjEzNDcxMDIuanBnfDM3MGVlMzJlMGRkY2M5ZjJkNTAwNGE4YjU3ZGMwYmRlZGIwNTkwNzUxZDhiYTRhYzIzMWZkYjNlMTBlOTM5NjQ,"69,990.00","87,900.00","20%(₹17,910)",OFFERS AVAILABLE, Wishlist
"Panasonic 1T 3 Star 7 in 1 Wi-Fi Convertible Inverter Split AC, AU12ZKY3F (4 way swing, MirAie function (Wi-Fi), R32, PM 0.1 filteration, 2023 launch)",https://www.reliancedigital.in/panasonic-1t-3-star-7-in-1-wi-fi-convertible-inverter-split-ac-au12zky3f-4-way-swing-miraie-function-wi-fi-r32-pm-0-1-filteration-2023-launch-/p/581110375,https://www.reliancedigital.in/medias/Panasonic-CS-CU-AU12ZKY3F-Air-Conditioner-581110375-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxNDE3N3xpbWFnZS9qcGVnfGltYWdlcy9oODUvaDJkLzk5NjcwNzQyNzk0NTQuanBnfGVkYWI5NmFlODYyODJkZjE3MmFhYjQyNzAyMmI5OTU3YTI2YjUzNjZlOTc4ZWQ2YTZmYzFjYjc3Y2M2MTNiZDE,"37,990.00","52,400.00","28%(₹14,410)",OFFERS AVAILABLE, Wishlist
"Panasonic 1.5T 5 Star 7-in-1 Wi-Fi Convertible Inverter Split AC, AU18ZKY5F ( 4 way swing, MirAie function (Wi-Fi), R32, PM 0.1 Filter, 2023 launch)",https://www.reliancedigital.in/panasonic-1-5t-5-star-7-in-1-wi-fi-convertible-inverter-split-ac-au18zky5f-4-way-swing-miraie-function-wi-fi-r32-pm-0-1-filter-2023-launch-/p/581110369,https://www.reliancedigital.in/medias/Panasonic-CS-CU-AU18ZKY5F-Air-Conditioner-581110369-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxNDE3N3xpbWFnZS9qcGVnfGltYWdlcy9oYTAvaGRmLzk5NjU5NzI1NTM3NTguanBnfDFlZWY3MGVjNjE2NDAyYjM0NmI3ZTFkNzg2ODIxYTY5YzRhOTA3NjliNzQ0OGY2YjU0Zjc2Y2JlOWY2NGYwMGU,"48,990.00","69,900.00","30%(₹20,910)",OFFERS AVAILABLE, Wishlist
"Panasonic 2T 4 Star 7-in-1 Wi-Fi Convertible Inverter Split AC, WU24ZKYXF (4 way swing, MirAie function (Wi-Fi), R32, PM 2.5, 2023 launch)",https://www.reliancedigital.in/panasonic-2t-4-star-7-in-1-wi-fi-convertible-inverter-split-ac-wu24zkyxf-4-way-swing-miraie-function-wi-fi-r32-pm-2-5-2023-launch-/p/581110373,https://www.reliancedigital.in/medias/Panasonic-CS-CU-WU24ZKYXF-Air-Conditioner-581110373-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxNDE1NXxpbWFnZS9qcGVnfGltYWdlcy9oYzAvaDU2Lzk5NjU5NjI2NTc4MjIuanBnfDQ1ODdlYzEzNmExYzg4ZjI2N2UwZTliZGNhYWZlNWM2YWYwMjJkNmNmNzhmODUzYTYxOGMyYWQwZTZlOWYzYzc,"60,990.00","82,400.00","26%(₹21,410)",OFFERS AVAILABLE, Wishlist
"Samsung 1.5 Ton 3 Star windfree inverter split AC, AR18CY3AMWK  (Wifi, HD filter, 100 Percent copper, 4 way swing, 2023 launch)",https://www.reliancedigital.in/samsung-1-5-ton-3-star-windfree-inverter-split-ac-ar18cy3amwk-wifi-hd-filter-100-percent-copper-4-way-swing-2023-launch-/p/581110396,https://www.reliancedigital.in/medias/Samsung-AR18CY3AMWK-Air-Conditioner-581110396-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMjUyNnxpbWFnZS9qcGVnfGltYWdlcy9oNzkvaDlmLzk5NjgzMzMwOTQ5NDIuanBnfDgwODY1ZGFhMGIyOTE5NDkxNWU3YTdkYmEzM2I3M2Q1Mjc5NWFiOThhNmYxZGQ2Y2M1YmI2ODFhMGI3N2VjN2M,"39,990.00","64,990.00","38%(₹25,000)",OFFERS AVAILABLE, Wishlist
"Samsung 1.5 Ton 5 Star windfree inverter split AC, AR18CY5AMWK  (Wifi, HD filter, 100 Percent copper, 4 way swing, freeze wash, 2023 launch)",https://www.reliancedigital.in/samsung-1-5-ton-5-star-windfree-inverter-split-ac-ar18cy5amwk-wifi-hd-filter-100-percent-copper-4-way-swing-freeze-wash-2023-launch-/p/581110398,https://www.reliancedigital.in/medias/Samsung-AR18CY5AMWK-Air-Conditioner-581110398-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMjYyMnxpbWFnZS9qcGVnfGltYWdlcy9oYmYvaDc4Lzk5NjgzMzY2OTk0MjIuanBnfDIzZWQxN2E3MWYzYjk1ZjdjYjk3MmEwMWVlNGM2NDJhOGVmYzI0MjA2MGFmOGVmZmExNzgxNDRkNjViNzRiZWI,"48,990.00","75,990.00","36%(₹27,000)",OFFERS AVAILABLE, Wishlist
